0.000000,0.000000,0.000000,0.000000
0.200000,0.142857,0.090909,0.433381
0.400000,0.285714,0.181818,0.855326
0.600000,0.428571,0.272727,1.212645
0.800000,0.571429,0.363636,1.402103
0.040000,0.714286,0.454545,1.026131
0.240000,0.857143,0.545455,1.238063
0.440000,0.020408,0.636364,0.984335
0.640000,0.163265,0.727273,1.254091
0.840000,0.306122,0.818182,1.336692
0.080000,0.448980,0.909091,0.970273
0.280000,0.591837,0.008264,0.810051
0.480000,0.734694,0.099174,1.103347
0.680000,0.877551,0.190083,1.223904
0.880000,0.040816,0.280992,0.803163
0.120000,0.183673,0.371901,0.668294
0.320000,0.326531,0.462810,1.081558
0.520000,0.469388,0.553719,1.434520
0.720000,0.612245,0.644628,1.624712
0.920000,0.755102,0.735537,1.543849
0.160000,0.897959,0.826446,1.146930
0.360000,0.061224,0.917355,0.867057
0.560000,0.204082,0.016529,0.727805
0.760000,0.346939,0.107438,0.993779
0.960000,0.489796,0.198347,1.071030
0.008000,0.632653,0.289256,0.834242
0.208000,0.775510,0.380165,1.120053
0.408000,0.918367,0.471074,1.296202
0.608000,0.081633,0.561983,1.120605
0.808000,0.224490,0.652893,1.295929
0.048000,0.367347,0.743802,0.956402
0.248000,0.510204,0.834711,1.237540
0.448000,0.653061,0.925620,1.419021
0.648000,0.795918,0.024793,1.100869
0.848000,0.938776,0.115702,1.053062
0.088000,0.102041,0.206612,0.396260
0.288000,0.244898,0.297521,0.825243
0.488000,0.387755,0.388430,1.219870
0.688000,0.530612,0.479339,1.494763
0.888000,0.673469,0.570248,1.538108
0.128000,0.816327,0.661157,1.197731
0.328000,0.959184,0.752066,1.281811
0.528000,0.122449,0.842975,1.119698
0.728000,0.265306,0.933884,1.250192
0.928000,0.408163,0.033058,0.872086
0.168000,0.551020,0.123967,0.794298
0.368000,0.693878,0.214876,1.126043
0.568000,0.836735,0.305785,1.327491
0.768000,0.979592,0.396694,1.319395
0.968000,0.002915,0.487603,0.866028
0.016000,0.145773,0.578512,0.678918
0.216000,0.288630,0.669421,1.049793
